date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,holiday_flag,fiscal_quarter,fiscal_year,season,campaign_period_flag
20230101,2023-01-01,2023,1,1,January,52,7,Sunday,True,True,1,2023,Winter,False
20230102,2023-01-02,2023,1,1,January,1,1,Monday,False,False,1,2023,Winter,True
20230103,2023-01-03,2023,1,1,January,1,2,Tuesday,False,False,1,2023,Winter,True
20230104,2023-01-04,2023,1,1,January,1,3,Wednesday,False,False,1,2023,Winter,True
20230105,2023-01-05,2023,1,1,January,1,4,Thursday,False,False,1,2023,Winter,True
20230106,2023-01-06,2023,1,1,January,1,5,Friday,False,False,1,2023,Winter,True
20230107,2023-01-07,2023,1,1,January,1,6,Saturday,True,False,1,2023,Winter,True
20230108,2023-01-08,2023,1,1,January,1,7,Sunday,True,False,1,2023,Winter,True
20230109,2023-01-09,2023,1,1,January,2,1,Monday,False,False,1,2023,Winter,True
20230110,2023-01-10,2023,1,1,January,2,2,Tuesday,False,False,1,2023,Winter,True
20230111,2023-01-11,2023,1,1,January,2,3,Wednesday,False,False,1,2023,Winter,True
20230112,2023-01-12,2023,1,1,January,2,4,Thursday,False,False,1,2023,Winter,True
20230113,2023-01-13,2023,1,1,January,2,5,Friday,False,False,1,2023,Winter,True
20230114,2023-01-14,2023,1,1,January,2,6,Saturday,True,False,1,2023,Winter,True
20230115,2023-01-15,2023,1,1,January,2,7,Sunday,True,False,1,2023,Winter,True
20230116,2023-01-16,2023,1,1,January,3,1,Monday,False,False,1,2023,Winter,True
20230117,2023-01-17,2023,1,1,January,3,2,Tuesday,False,False,1,2023,Winter,True
20230118,2023-01-18,2023,1,1,January,3,3,Wednesday,False,False,1,2023,Winter,True
20230119,2023-01-19,2023,1,1,January,3,4,Thursday,False,False,1,2023,Winter,True
20230120,2023-01-20,2023,1,1,January,3,5,Friday,False,False,1,2023,Winter,True
20230121,2023-01-21,2023,1,1,January,3,6,Saturday,True,False,1,2023,Winter,True
20230122,2023-01-22,2023,1,1,January,3,7,Sunday,True,False,1,2023,Winter,False
20230123,2023-01-23,2023,1,1,January,4,1,Monday,False,False,1,2023,Winter,False
