order_line_key,order_key,customer_key,product_key,order_date_key,quantity,unit_price,gross_line_revenue,discount_amount,net_line_revenue,unit_cost
1,1,1,95,20230525,1,162.72,162.72,0.0,162.72,57.4
2,2,1,98,20230831,1,143.99,143.99,0.0,143.99,49.65
3,3,1,116,20231104,2,138.01,276.02,0.0,276.02,60.26
4,4,1,161,20231123,1,56.09,56.09,5.61,50.48,17.54
5,5,1,160,20250901,1,20.88,20.88,0.0,20.88,6.24
6,5,1,173,20250901,1,51.49,51.49,0.0,51.49,15.39
7,5,1,142,20250901,1,27.09,27.09,0.0,27.09,8.1
8,6,1,10,20251120,1,51.32,51.32,5.13,46.19,21.43
9,7,2,159,20231103,1,25.33,25.33,0.0,25.33,5.05
10,8,3,148,20231206,1,14.43,14.43,1.44,12.99,5.39
11,8,3,56,20231206,1,34.44,34.44,3.45,30.99,17.16
12,9,4,61,20230530,2,46.17,92.34,0.0,92.34,15.04
13,10,4,41,20230807,1,75.37,75.37,15.07,60.3,26.16
14,11,4,34,20230920,1,116.09,116.09,0.0,116.09,37.82
15,12,4,1,20231106,2,49.26,98.52,0.0,98.52,16.34
16,13,4,40,20240102,2,111.44,222.88,100.3,122.58,35.2
17,14,4,169,20240229,1,60.18,60.18,0.0,60.18,15.08
18,15,4,156,20240427,1,44.51,44.51,0.0,44.51,11.04
19,16,4,45,20240613,1,101.85,101.85,0.0,101.85,32.7
20,17,4,13,20240727,1,124.7,124.7,0.0,124.7,41.44
21,18,4,148,20240907,1,20.57,20.57,0.0,20.57,5.39
22,19,4,148,20241211,1,20.03,20.03,2.0,18.03,5.39
23,20,4,171,20241228,1,49.07,49.07,0.0,49.07,12.12
24,21,4,132,20250219,1,77.65,77.65,0.0,77.65,29.46
25,22,4,39,20250412,1,121.43,121.43,0.0,121.43,43.38
26,23,4,9,20250605,2,58.26,116.52,0.0,116.52,19.59
27,24,4,45,20250801,1,104.0,104.0,20.8,83.2,32.7
28,25,4,21,20250910,1,76.22,76.22,0.0,76.22,23.72
29,25,4,49,20250910,1,110.38,110.38,0.0,110.38,34.35
30,26,4,124,20251023,2,82.06,164.12,0.0,164.12,32.03
31,26,4,160,20251023,1,23.98,23.98,0.0,23.98,6.24
32,27,4,159,20251219,1,19.51,19.51,1.95,17.56,5.05
33,27,4,25,20251219,1,34.54,34.54,3.45,31.09,11.92
34,27,4,147,20251219,2,30.42,60.84,6.09,54.75,7.87
35,28,5,40,20230322,1,92.63,92.63,0.0,92.63,35.2
36,29,6,92,20230701,1,252.0,252.0,0.0,252.0,90.89
37,30,7,144,20230211,1,22.66,22.66,0.0,22.66,7.97
38,31,8,166,20231228,1,49.94,49.94,0.0,49.94,12.76
39,32,9,76,20230718,1,25.63,25.63,5.13,20.5,14.33
40,32,9,10,20230718,1,38.33,38.33,7.66,30.67,21.43
41,33,10,18,20240119,1,153.28,153.28,68.98,84.3,39.01
42,33,10,35,20240119,1,71.54,71.54,32.19,39.35,18.21
43,34,11,146,20230512,1,61.96,61.96,0.0,61.96,16.56
44,34,11,24,20230512,1,87.12,87.12,0.0,87.12,31.05
45,35,12,35,20231227,1,44.2,44.2,0.0,44.2,18.21
46,36,13,142,20230521,1,42.99,42.99,0.0,42.99,8.1
47,36,13,78,20230521,1,98.02,98.02,0.0,98.02,24.62
48,37,14,152,20231203,1,40.35,40.35,4.04,36.31,9.34
49,38,14,148,20240113,1,23.32,23.32,10.49,12.83,5.39
50,39,14,177,20240229,1,69.59,69.59,0.0,69.59,17.34
51,39,14,19,20240229,2,40.74,81.48,0.0,81.48,13.54
52,40,14,41,20240508,1,80.08,80.08,0.0,80.08,26.16
53,41,14,148,20240626,1,20.95,20.95,0.0,20.95,5.39
54,42,14,156,20240901,1,45.97,45.97,0.0,45.97,11.04
55,43,14,152,20241011,1,35.54,35.54,0.0,35.54,9.34
56,43,14,159,20241011,1,19.22,19.22,0.0,19.22,5.05
57,44,14,29,20241202,1,114.08,114.08,34.22,79.86,36.59
58,45,14,36,20250327,1,91.58,91.58,0.0,91.58,28.39
59,46,14,157,20250522,1,45.93,45.93,0.0,45.93,10.63
60,47,14,53,20250727,1,61.21,61.21,0.0,61.21,19.69
61,48,14,148,20251122,1,22.87,22.87,2.29,20.58,5.39
62,48,14,158,20251122,1,40.06,40.06,4.0,36.06,9.45
63,49,14,127,20251220,1,104.01,104.01,10.4,93.61,41.63
64,50,14,174,20251227,1,46.7,46.7,0.0,46.7,11.2
65,51,15,104,20230514,1,183.88,183.88,0.0,183.88,62.78
66,51,15,93,20230514,1,227.44,227.44,0.0,227.44,77.65
67,52,16,159,20230718,1,17.18,17.18,3.44,13.74,5.05
