order_key,order_id,customer_key,order_date_key,sales_channel_key,geography_key,campaign_key,acquisition_channel_key,gross_revenue,discount_amount,net_revenue,shipping_revenue,is_first_order
1,ORD-000001,1,20230525,1,34,,1,162.72,0.0,162.72,0.0,True
2,ORD-000002,1,20230831,1,34,,1,143.99,0.0,143.99,0.0,False
3,ORD-000003,1,20231104,1,34,,1,276.02,0.0,276.02,0.0,False
4,ORD-000004,1,20231123,2,34,6,1,56.09,5.61,50.48,6.99,False
5,ORD-000005,1,20250901,1,34,,1,99.46,0.0,99.46,0.0,False
6,ORD-000006,1,20251120,1,34,20,1,51.32,5.13,46.19,6.99,False
7,ORD-000007,2,20231103,1,31,,1,25.33,0.0,25.33,6.99,True
8,ORD-000008,3,20231206,3,38,6,2,48.87,4.89,43.98,6.99,True
9,ORD-000009,4,20230530,3,18,,1,92.34,0.0,92.34,0.0,True
10,ORD-000010,4,20230807,1,18,3,1,75.37,15.07,60.3,6.99,False
11,ORD-000011,4,20230920,2,18,,1,116.09,0.0,116.09,0.0,False
12,ORD-000012,4,20231106,3,18,,1,98.52,0.0,98.52,0.0,False
13,ORD-000013,4,20240102,1,18,14,1,222.88,100.3,122.58,0.0,False
14,ORD-000014,4,20240229,1,18,8,1,60.18,0.0,60.18,6.99,False
15,ORD-000015,4,20240427,1,18,,1,44.51,0.0,44.51,6.99,False
16,ORD-000016,4,20240613,1,18,,1,101.85,0.0,101.85,0.0,False
17,ORD-000017,4,20240727,1,18,,1,124.7,0.0,124.7,0.0,False
18,ORD-000018,4,20240907,2,18,,1,20.57,0.0,20.57,6.99,False
19,ORD-000019,4,20241211,3,18,13,1,20.03,2.0,18.03,6.99,False
20,ORD-000020,4,20241228,1,18,,1,49.07,0.0,49.07,6.99,False
21,ORD-000021,4,20250219,3,18,15,1,77.65,0.0,77.65,0.0,False
22,ORD-000022,4,20250412,1,18,,1,121.43,0.0,121.43,0.0,False
23,ORD-000023,4,20250605,1,18,,1,116.52,0.0,116.52,0.0,False
24,ORD-000024,4,20250801,3,18,17,1,104.0,20.8,83.2,0.0,False
25,ORD-000025,4,20250910,3,18,,1,186.6,0.0,186.6,0.0,False
26,ORD-000026,4,20251023,1,18,,1,188.1,0.0,188.1,0.0,False
27,ORD-000027,4,20251219,1,18,20,1,114.89,11.49,103.4,0.0,False
28,ORD-000028,5,20230322,1,29,,4,92.63,0.0,92.63,0.0,True
29,ORD-000029,6,20230701,1,20,,5,252.0,0.0,252.0,0.0,True
30,ORD-000030,7,20230211,1,40,,5,22.66,0.0,22.66,6.99,True
31,ORD-000031,8,20231228,3,13,,3,49.94,0.0,49.94,6.99,True
32,ORD-000032,9,20230718,1,28,2,2,63.96,12.79,51.17,6.99,True
33,ORD-000033,10,20240119,1,21,14,6,224.82,101.17,123.65,0.0,True
34,ORD-000034,11,20230512,1,11,,1,149.08,0.0,149.08,0.0,True
35,ORD-000035,12,20231227,1,23,,4,44.2,0.0,44.2,6.99,True
36,ORD-000036,13,20230521,2,46,,6,141.01,0.0,141.01,0.0,True
37,ORD-000037,14,20231203,1,14,6,6,40.35,4.04,36.31,6.99,True
38,ORD-000038,14,20240113,1,14,14,6,23.32,10.49,12.83,6.99,False
39,ORD-000039,14,20240229,3,14,8,6,151.07,0.0,151.07,0.0,False
40,ORD-000040,14,20240508,2,14,,6,80.08,0.0,80.08,0.0,False
