return_key,order_key,order_line_key,customer_key,product_key,return_date_key,return_reason_key,return_quantity,return_amount,restocking_fee,refund_completed_flag
1,2,2,1,98,20230913,1,1,143.99,0.0,True
2,3,3,1,116,20231111,1,2,276.02,0.0,True
3,11,14,4,34,20231008,1,1,116.09,0.0,True
4,14,17,4,169,20240308,4,1,60.18,6.02,True
5,16,19,4,45,20240702,4,1,101.85,10.19,True
6,24,27,4,45,20250813,3,1,83.2,0.0,True
7,32,39,9,76,20230730,1,1,20.5,0.0,True
8,36,47,13,78,20230605,1,1,98.02,0.0,True
9,39,51,14,19,20240320,5,2,81.48,0.0,True
10,48,62,14,158,20251128,3,1,36.06,0.0,True
11,55,72,16,131,20241215,2,1,56.71,0.0,True
12,57,74,18,83,20231114,5,1,264.88,0.0,True
13,68,88,20,71,20240519,4,1,75.53,7.55,True
14,91,117,23,54,20250306,4,1,63.9,6.39,True
15,92,119,23,155,20250803,4,1,30.1,3.01,True
16,94,121,24,16,20230325,1,1,107.08,0.0,True
17,96,126,24,91,20230715,3,1,115.39,0.0,True
18,97,127,24,148,20230824,4,1,17.04,1.7,True
19,99,129,24,165,20231202,1,1,39.18,0.0,True
20,105,135,24,134,20241128,1,1,133.94,0.0,True
21,107,139,24,164,20250430,6,1,71.28,0.0,True
22,109,141,24,37,20250909,4,1,60.78,6.08,True
23,111,143,24,131,20251216,6,1,93.73,0.0,True
24,113,145,25,15,20230902,2,2,165.12,0.0,True
25,116,148,26,53,20240325,6,1,40.29,0.0,True
26,118,151,26,124,20240905,3,2,88.32,0.0,True
27,120,153,26,10,20241127,1,1,34.34,0.0,True
28,124,159,27,44,20230210,1,1,56.41,0.0,True
29,133,170,28,153,20250723,3,1,72.31,0.0,True
30,134,171,28,12,20250906,4,1,83.74,8.37,True
31,136,173,28,19,20251130,1,1,36.31,0.0,True
32,140,179,30,151,20231223,5,1,33.62,0.0,True
33,145,184,34,12,20230311,4,1,64.22,6.42,True
34,146,185,35,14,20230925,1,2,168.02,0.0,True
35,147,186,36,165,20230121,3,1,25.42,0.0,True
36,157,198,40,152,20251215,2,1,21.39,0.0,True
37,163,205,43,111,20231215,4,1,94.63,9.46,True
38,166,211,43,19,20240323,6,1,37.92,0.0,True
39,168,213,43,29,20240623,3,1,112.32,0.0,True
40,170,216,43,5,20241129,3,1,44.63,0.0,True
41,172,219,43,35,20250129,1,1,30.13,0.0,True
42,173,221,43,6,20250303,1,1,69.58,0.0,True
43,174,222,43,164,20250425,4,1,74.51,7.45,True
44,176,226,43,140,20250716,1,1,150.32,0.0,True
45,178,228,44,76,20230128,1,1,15.12,0.0,True
46,180,231,46,23,20230405,1,1,67.12,0.0,True
47,181,232,47,2,20231224,1,1,33.55,0.0,True
48,191,243,50,116,20241113,4,1,108.07,10.81,True
49,195,250,51,5,20231101,4,1,32.21,3.22,True
50,198,256,51,170,20240809,3,1,22.21,0.0,True
51,204,263,52,45,20230420,4,1,90.07,9.01,True
52,211,270,52,63,20240624,3,1,112.53,0.0,True
53,220,279,54,58,20240209,3,1,25.11,0.0,True
54,224,286,54,40,20241216,4,1,73.51,7.35,True
55,226,288,54,13,20250325,4,1,107.31,10.73,True
56,227,289,54,11,20250531,1,1,90.1,0.0,True
57,229,291,54,123,20251214,1,1,126.33,0.0,True
58,231,293,55,173,20230831,4,1,41.96,4.2,True
59,232,294,55,144,20240106,3,2,45.5,0.0,True
60,232,295,55,149,20240105,2,1,31.66,0.0,True
61,253,319,58,3,20230722,1,1,78.31,0.0,True
62,260,330,60,38,20250123,1,1,30.83,0.0,True
63,262,332,61,48,20231105,3,1,84.23,0.0,True
64,262,333,61,135,20231120,4,1,187.58,18.76,True
65,268,340,65,127,20230929,5,1,104.44,0.0,True
66,269,341,66,155,20230429,2,1,42.54,0.0,True
67,279,354,71,161,20240624,3,1,73.74,0.0,True
68,281,356,71,49,20241023,3,1,96.8,0.0,True
69,289,367,72,36,20240727,3,1,56.52,0.0,True
70,291,369,72,116,20241128,1,1,110.12,0.0,True
71,294,373,72,43,20251107,3,1,93.95,0.0,True
72,295,374,72,117,20251207,1,1,126.86,0.0,True
73,296,376,72,113,20251216,1,1,132.56,0.0,True
74,297,377,72,37,20251231,4,1,51.81,5.18,False
75,312,396,75,86,20251208,3,2,244.17,0.0,True
76,313,398,76,79,20231114,1,1,58.85,0.0,True
77,321,407,82,19,20230621,6,1,27.9,0.0,True
78,329,417,85,160,20231120,4,1,14.65,1.47,True
79,331,421,87,30,20230703,1,1,65.01,0.0,True
80,332,423,87,25,20230831,1,2,51.93,0.0,True
81,335,426,87,9,20240328,4,1,52.76,5.28,True
82,337,428,87,114,20240817,1,1,126.77,0.0,True
83,338,429,87,2,20241027,1,1,31.67,0.0,True
84,339,431,87,127,20250105,1,1,89.16,0.0,True
85,341,433,87,7,20250526,5,1,42.56,0.0,True
86,349,442,90,117,20230705,2,1,205.05,0.0,True
87,361,456,90,158,20241205,6,1,44.2,0.0,True
88,363,462,90,150,20241224,2,1,41.17,0.0,True
89,368,468,90,139,20250722,1,1,127.28,0.0,True
90,375,476,91,33,20240427,1,1,97.14,0.0,True
91,381,484,91,84,20250130,2,1,83.22,0.0,True
92,383,486,91,77,20250427,4,1,61.94,6.19,True
93,385,489,92,3,20230312,2,1,79.48,0.0,True
94,386,490,93,175,20230227,1,1,57.6,0.0,True
95,413,524,97,6,20240316,3,1,64.4,0.0,True
96,413,525,97,6,20240318,1,1,64.4,0.0,True
97,413,526,97,19,20240321,2,1,35.71,0.0,True
98,414,527,97,31,20240603,4,1,83.5,8.35,True
99,420,534,97,42,20250908,2,2,137.28,0.0,True
100,431,548,105,52,20240720,1,1,44.0,0.0,True
101,433,551,105,9,20240818,3,1,29.28,0.0,True
102,434,552,105,33,20241113,2,1,57.64,0.0,True
103,434,553,105,122,20241109,1,1,68.09,0.0,True
104,441,564,106,44,20250917,4,1,45.82,4.58,True
105,445,570,107,170,20231010,6,1,45.02,0.0,True
106,449,577,107,2,20240905,4,1,31.12,3.11,True
107,456,586,107,163,20250723,3,1,31.25,0.0,True
108,458,588,107,44,20251120,1,1,59.53,0.0,True
109,462,593,109,51,20230206,5,1,61.17,0.0,True
110,475,613,110,55,20230615,4,1,35.05,3.51,True
111,477,615,110,24,20231125,6,1,81.42,0.0,True
112,478,616,110,129,20240125,1,1,80.31,0.0,True
113,479,617,110,12,20240324,4,1,71.07,7.11,True
114,479,619,110,125,20240323,4,2,261.58,26.16,True
115,480,620,110,68,20240604,4,1,54.39,5.44,True
